,Judul,score
14S15043,Kalkulus Edisi Kesembilan Jilid 1,1.0
14S15048,Kalkulus Edisi Kesembilan Jilid 1,1.0
14S15057,Kalkulus Edisi Kesembilan Jilid 1,1.0
14S15059,Kalkulus Edisi Kesembilan Jilid 1,1.0
14S15062,Kalkulus Edisi Kesembilan Jilid 1,2.0
21112004,Data Mining: Concepts and Techniques,1.0
21112009,"Rich Dad, Poor dad: Apa yang diajarkan orang kaya pada Anak-anak mereka tentang uang yang tidak diajarkan oleh orang miskin dan kelas menengah",2.0
21112021,Think and Grow rich For Women,1.0
21112028,Panduan Mudah Pengembangan Google map Android,1.0
21S14001,Practice Exercises for the TOEFL,1.0
21S14002,Practice Exercises for the TOEFL,1.0
21S14003,Metoda Statistika,1.0
21S14004,Practice Exercises for the TOEFL,1.0
21S14005,Practice Exercises for the TOEFL,1.0
21S14006,Practice Exercises for the TOEFL,1.0
21S14007,Cambridge Preparation for the TOEFL Test,1.0
21S14008,Metoda Statistika,1.0
21S14009,Vocabulary for TEOFL iBT,1.0
21S14010,Cambridge Preparation for the TOEFL Test,1.0
21S14011,Metoda Statistika,1.0
21S14012,Merry Riana; Mimpi sejuta dolar,1.0
21S14013,Cambridge Preparation for the TOEFL Test,1.0
21S14014,Cambridge Preparation for the TOEFL Test,1.0
21S14015,Practice Exercises for the TOEFL,1.0
21S14016,Metoda Statistika,1.0
21S14017,Practice Exercises for the TOEFL,1.0
21S14018,Practice Exercises for the TOEFL,1.0
21S14019,Practice Exercises for the TOEFL,1.0
21S14020,Practice execise for the TOEFL,1.0
21S14022,Metoda Statistika,1.0
21S14023,TOEFL iBT,1.0
21S14024,Practice Exercises for the TOEFL,1.0
21S14025,Practice Exercises for the TOEFL,1.0
21S14026,Longman preparation course for the TOEFL test: The paper test,1.0
21S14027,Practice Exercises for the TOEFL,1.0
21S14028,Practice Exercises for the TOEFL,1.0
21S14029,Practice Exercises for the TOEFL,1.0
21S14030,Cracking the TOEFL iBT 2012 Edition,1.0
21S15007,Fakta Keren ,1.0
21S15064,Kalkulus Edisi Kesembilan Jilid 1,1.0
31S14008,Numerical Methods,1.0
31S14011,Numerical Methods,1.0
31S14012,Dare to Fail from KSE ( Kia-Su Economy ) to K,1.0
31S14014,Merry Riana; Mimpi sejuta dolar,1.0
31S14019,Numerical Methods,1.0
31S14020,The power of Habit: why we do what we do and how to change,1.0
31S14023,Numerical Methods,1.0
31S14026,Life Lesson: Membuat Impian menjadi Kenyataan,1.0
31S14027,Numerical Methods,1.0
31S14028,Bumi,1.0
31S15001,Longman preparation course for the TOEFL test: The paper test,1.0
31S15003,Longman preparation course for the TOEFL test: The paper test,1.0
31S15004,English Grammanr Workbook for Dummies 2nd Edition,1.0
31S15011,Longman preparation course for the TOEFL test: The paper test,1.0
